name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
P42	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
P43	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
P44	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
P45	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
P46	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
P47	ECOG	µV	134	0.15	G2	grid	512	n/a	bad	electrode on top of other electrode
P48	ECOG	µV	134	0.15	G2	grid	512	n/a	bad	electrode on top of other electrode
OT01	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT02	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT03	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT04	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT05	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT06	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT07	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT08	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT09	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT10	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT11	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT12	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT13	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT14	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT15	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
OT16	ECOG	µV	134	0.15	G2	grid	512	n/a	good	included
el65	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
el66	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
Db1	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Db2	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Db3	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Db4	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Db5	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Db6	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
el73	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
el74	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
Do1	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Do2	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Do3	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Do4	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Do5	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
Do6	ECOG	µV	134	0.15	G2	depth	512	n/a	good	included
z9	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z10	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z11	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z12	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z13	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z14	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z15	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z16	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z17	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z18	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z19	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z20	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z21	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z22	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z23	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z24	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z25	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z26	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z27	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z28	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z29	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z30	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z31	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z32	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z33	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z34	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z35	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z36	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z37	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z38	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z39	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
z40	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
x33	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
x34	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
x35	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
x36	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
x37	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
x38	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
x39	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
x40	OTHER	µV	134	0.15	G2	other	512	n/a	bad	not recording
p121+	OTHER	µV	134	0.15	p121-	other	512	n/a	bad	not recording
p122+	OTHER	µV	134	0.15	p122-	other	512	n/a	bad	not recording
p123+	OTHER	µV	134	0.15	p123-	other	512	n/a	bad	not recording
emg2+	EMG	µV	134	0.15	emg2-	other	512	n/a	good	not included
emg1+	EMG	µV	134	0.15	emg1-	other	512	n/a	good	not included
orb+	EOG	µV	134	0.15	orb-	other	512	n/a	good	not included
ECG+	ECG	µV	134	0.15	ECG-	other	512	n/a	good	not included
AH+	OTHER	µV	134	0.15	AH-	other	512	n/a	bad	not recording
